"","Agrius convolvuli","Amblypsilopus sp1 M_PL_092","Apis mellifera","Ceratina tabescens","Chalcidoma disjunctum","Cratopus aurostriatus","Dichaetomyia fasciculifera","Eagris sabadius","Eristalinus vicarians","Eristalodes seychellarum","Euodynerus cylindricus","Forcipomyia litoraurea","Forcipomyia sp1 M_PL_096","Forcipomyia sp1 M_PL_098","Forcipomyia sp1 M_PL_099","Forcipomyia sp1 M_PL_103","Forcipomyia sp1 M_PL_105","Forcipomyia sp1 M_PL_106","Forcipomyia sp1 M_PL_121","Forcipomyia sp1 M_PL_128","Forcipomyia sp1 M_PL_130","Foudia madagascariensis","Geron seychellarum","Hemipyrellia germana","Hemipyrellia sp1 M_PL_086","Hemipyrellia sp1 M_PL_087","Hemipyrellia sp1 M_PL_088","Hemipyrellia sp1 M_PL_093","Hemipyrellia sp1 M_PL_095","Hemipyrellia sp1 M_PL_097","Hemipyrellia sp1 M_PL_098","Hemipyrellia sp1 M_PL_106","Hemipyrellia sp1 M_PL_107","Hemipyrellia sp1 M_PL_108","Hemipyrellia sp1 M_PL_109","Hemipyrellia sp1 M_PL_110","Hemipyrellia sp1 M_PL_111","Hemipyrellia sp1 M_PL_112","Hemipyrellia sp1 M_PL_114","Hemipyrellia sp1 M_PL_115","Hemipyrellia sp1 M_PL_117","Hemipyrellia sp1 M_PL_118","Hemipyrellia sp1 M_PL_119","Hemipyrellia sp1 M_PL_123","Hemipyrellia sp1 M_PL_126","Hemipyrellia sp1 M_PL_127","Hemipyrellia sp1 M_PL_129","Hemipyrellia sp1 M_PL_130","Hemipyrellia sp1 M_PL_131","Lampides boeticus ","Lasioglossum mahense","Leptotes pirithous","Lygistorrhina sp1 M_PL_084","Lygistorrhina sp1 M_PL_085","Lygistorrhina sp1 M_PL_086","Lygistorrhina sp1 M_PL_088","Lygistorrhina sp1 M_PL_089","Lygistorrhina sp1 M_PL_091","Lygistorrhina sp1 M_PL_092","Lygistorrhina sp1 M_PL_093","Lygistorrhina sp1 M_PL_096","Lygistorrhina sp1 M_PL_098","Lygistorrhina sp1 M_PL_099","Lygistorrhina sp1 M_PL_100","Lygistorrhina sp1 M_PL_102","Lygistorrhina sp1 M_PL_103","Lygistorrhina sp1 M_PL_104","Lygistorrhina sp1 M_PL_105","Lygistorrhina sp1 M_PL_106","Lygistorrhina sp1 M_PL_107","Lygistorrhina sp1 M_PL_108","Lygistorrhina sp1 M_PL_109","Lygistorrhina sp1 M_PL_111","Lygistorrhina sp1 M_PL_112","Lygistorrhina sp1 M_PL_114","Lygistorrhina sp1 M_PL_115","Lygistorrhina sp1 M_PL_118","Lygistorrhina sp1 M_PL_119","Lygistorrhina sp1 M_PL_120","Lygistorrhina sp1 M_PL_121","Lygistorrhina sp1 M_PL_124","Lygistorrhina sp1 M_PL_125","Lygistorrhina sp1 M_PL_126","Lygistorrhina sp1 M_PL_127","Lygistorrhina sp1 M_PL_128","Lygistorrhina sp1 M_PL_130","Lygistorrhina sp1 M_PL_131","Mabuya sechellensis","Megachile seychellensis","Melanostoma annulipes","Musca domestica","Neavella albipectus","Nectarinia dussumieri","Neophyllomyza approximatonervis","Ornidia obesa","Pachycerina seychellensis","Parasarcophaga hirticeps","Perissoma aenescens","Phalanta phalantha","Phelsuma sp1 M_PL_084","Phelsuma sp1 M_PL_085","Phelsuma sp1 M_PL_086","Phelsuma sp1 M_PL_088","Phelsuma sp1 M_PL_089","Phelsuma sp1 M_PL_090","Phelsuma sp1 M_PL_091","Phelsuma sp1 M_PL_093","Phelsuma sp1 M_PL_096","Phelsuma sp1 M_PL_097","Phelsuma sp1 M_PL_098","Phelsuma sp1 M_PL_099","Phelsuma sp1 M_PL_100","Phelsuma sp1 M_PL_101","Phelsuma sp1 M_PL_102","Phelsuma sp1 M_PL_103","Phelsuma sp1 M_PL_104","Phelsuma sp1 M_PL_105","Phelsuma sp1 M_PL_107","Phelsuma sp1 M_PL_111","Phelsuma sp1 M_PL_112","Phelsuma sp1 M_PL_113","Phelsuma sp1 M_PL_114","Phelsuma sp1 M_PL_115","Phelsuma sp1 M_PL_118","Phelsuma sp1 M_PL_119","Phelsuma sp1 M_PL_120","Phelsuma sp1 M_PL_121","Phelsuma sp1 M_PL_122","Phelsuma sp1 M_PL_123","Phelsuma sp1 M_PL_128","Phelsuma sp1 M_PL_129","Phelsuma sp1 M_PL_130","Phelsuma sp1 M_PL_131","Physiphoa azurea ","Plagiostenopterina cyanosoma","Polistes olivaceus","Rhiparida seychellensis","Rhynchium brunneum","Scaptodrosophila sp1 M_PL_084","Scaptodrosophila sp1 M_PL_088","Scaptodrosophila sp1 M_PL_090","Scaptodrosophila sp1 M_PL_096","Scaptodrosophila sp1 M_PL_100","Scaptodrosophila sp1 M_PL_101","Scaptodrosophila sp1 M_PL_102","Scaptodrosophila sp1 M_PL_104","Scaptodrosophila sp1 M_PL_106","Scaptodrosophila sp1 M_PL_107","Scaptodrosophila sp1 M_PL_108","Scaptodrosophila sp1 M_PL_120","Scaptodrosophila sp1 M_PL_122","Scaptodrosophila sp1 M_PL_123","Scaptodrosophila sp1 M_PL_130","Simosyrphus aegyptius","Tricimba seychellensis","Trypoxylon errans","Unidentified sp1 M_PL_084","Unidentified sp1 M_PL_085","Unidentified sp1 M_PL_086","Unidentified sp1 M_PL_087","Unidentified sp1 M_PL_088","Unidentified sp1 M_PL_089","Unidentified sp1 M_PL_090","Unidentified sp1 M_PL_091","Unidentified sp1 M_PL_092","Unidentified sp1 M_PL_093","Unidentified sp1 M_PL_094","Unidentified sp1 M_PL_095","Unidentified sp1 M_PL_096","Unidentified sp1 M_PL_097","Unidentified sp1 M_PL_098","Unidentified sp1 M_PL_099","Unidentified sp1 M_PL_100","Unidentified sp1 M_PL_101","Unidentified sp1 M_PL_102","Unidentified sp1 M_PL_103","Unidentified sp1 M_PL_104","Unidentified sp1 M_PL_105","Unidentified sp1 M_PL_106","Unidentified sp1 M_PL_107","Unidentified sp1 M_PL_108","Unidentified sp1 M_PL_109","Unidentified sp1 M_PL_111","Unidentified sp1 M_PL_112","Unidentified sp1 M_PL_113","Unidentified sp1 M_PL_114","Unidentified sp1 M_PL_115","Unidentified sp1 M_PL_118","Unidentified sp1 M_PL_119","Unidentified sp1 M_PL_120","Unidentified sp1 M_PL_121","Unidentified sp1 M_PL_122","Unidentified sp1 M_PL_123","Unidentified sp1 M_PL_124","Unidentified sp1 M_PL_125","Unidentified sp1 M_PL_126","Unidentified sp1 M_PL_127","Unidentified sp1 M_PL_128","Unidentified sp1 M_PL_129","Unidentified sp1 M_PL_130","Unidentified sp1 M_PL_131","Unidentified sp2 M_PL_084","Unidentified sp2 M_PL_085","Unidentified sp2 M_PL_086","Unidentified sp2 M_PL_087","Unidentified sp2 M_PL_088","Unidentified sp2 M_PL_089","Unidentified sp2 M_PL_090","Unidentified sp2 M_PL_091","Unidentified sp2 M_PL_092","Unidentified sp2 M_PL_093","Unidentified sp2 M_PL_094","Unidentified sp2 M_PL_095","Unidentified sp2 M_PL_096","Unidentified sp2 M_PL_098","Unidentified sp2 M_PL_099","Unidentified sp2 M_PL_100","Unidentified sp2 M_PL_101","Unidentified sp2 M_PL_102","Unidentified sp2 M_PL_103","Unidentified sp2 M_PL_104","Unidentified sp2 M_PL_105","Unidentified sp2 M_PL_106","Unidentified sp2 M_PL_107","Unidentified sp2 M_PL_111","Unidentified sp2 M_PL_112","Unidentified sp2 M_PL_114","Unidentified sp2 M_PL_115","Unidentified sp2 M_PL_118","Unidentified sp2 M_PL_119","Unidentified sp2 M_PL_120","Unidentified sp2 M_PL_121","Unidentified sp2 M_PL_122","Unidentified sp2 M_PL_123","Unidentified sp2 M_PL_124","Unidentified sp2 M_PL_125","Unidentified sp2 M_PL_126","Unidentified sp2 M_PL_127","Unidentified sp2 M_PL_128","Unidentified sp2 M_PL_129","Unidentified sp2 M_PL_130","Unidentified sp2 M_PL_131","Unidentified sp3 M_PL_084","Unidentified sp3 M_PL_085","Unidentified sp3 M_PL_086","Unidentified sp3 M_PL_087","Unidentified sp3 M_PL_089","Unidentified sp3 M_PL_090","Unidentified sp3 M_PL_091","Unidentified sp3 M_PL_092","Unidentified sp3 M_PL_093","Unidentified sp3 M_PL_094","Unidentified sp3 M_PL_095","Unidentified sp3 M_PL_096","Unidentified sp3 M_PL_098","Unidentified sp3 M_PL_099","Unidentified sp3 M_PL_100","Unidentified sp3 M_PL_101","Unidentified sp3 M_PL_102","Unidentified sp3 M_PL_103","Unidentified sp3 M_PL_104","Unidentified sp3 M_PL_105","Unidentified sp3 M_PL_106","Unidentified sp3 M_PL_107","Unidentified sp3 M_PL_111","Unidentified sp3 M_PL_114","Unidentified sp3 M_PL_115","Unidentified sp3 M_PL_119","Unidentified sp3 M_PL_120","Unidentified sp3 M_PL_121","Unidentified sp3 M_PL_122","Unidentified sp3 M_PL_123","Unidentified sp3 M_PL_124","Unidentified sp3 M_PL_125","Unidentified sp3 M_PL_126","Unidentified sp3 M_PL_128","Unidentified sp3 M_PL_129","Unidentified sp3 M_PL_130","Unidentified sp4 M_PL_085","Unidentified sp4 M_PL_086","Unidentified sp4 M_PL_087","Unidentified sp4 M_PL_089","Unidentified sp4 M_PL_090","Unidentified sp4 M_PL_091","Unidentified sp4 M_PL_092","Unidentified sp4 M_PL_093","Unidentified sp4 M_PL_094","Unidentified sp4 M_PL_096","Unidentified sp4 M_PL_098","Unidentified sp4 M_PL_099","Unidentified sp4 M_PL_101","Unidentified sp4 M_PL_102","Unidentified sp4 M_PL_104","Unidentified sp4 M_PL_105","Unidentified sp4 M_PL_106","Unidentified sp4 M_PL_107","Unidentified sp4 M_PL_111","Unidentified sp4 M_PL_114","Unidentified sp4 M_PL_115","Unidentified sp4 M_PL_119","Unidentified sp4 M_PL_120","Unidentified sp4 M_PL_121","Unidentified sp4 M_PL_123","Unidentified sp4 M_PL_124","Unidentified sp4 M_PL_125","Unidentified sp4 M_PL_126","Unidentified sp4 M_PL_128","Unidentified sp4 M_PL_130","Unidentified sp5 M_PL_085","Unidentified sp5 M_PL_089","Unidentified sp5 M_PL_090","Unidentified sp5 M_PL_093","Unidentified sp5 M_PL_096","Unidentified sp5 M_PL_098","Unidentified sp5 M_PL_101","Unidentified sp5 M_PL_102","Unidentified sp5 M_PL_104","Unidentified sp5 M_PL_106","Unidentified sp5 M_PL_114","Unidentified sp5 M_PL_119","Unidentified sp5 M_PL_121","Unidentified sp5 M_PL_123","Unidentified sp5 M_PL_126","Unidentified sp5 M_PL_128","Unidentified sp5 M_PL_130","Unidentified sp6 M_PL_089","Unidentified sp6 M_PL_096","Unidentified sp6 M_PL_098","Unidentified sp6 M_PL_101","Unidentified sp6 M_PL_106","Unidentified sp6 M_PL_121","Unidentified sp6 M_PL_128","Unidentified sp6 M_PL_130","Unidentified sp7 M_PL_096","Unidentified sp7 M_PL_098","Unidentified sp7 M_PL_101","Unidentified sp7 M_PL_121","Unidentified sp7 M_PL_128","Unidentified sp7 M_PL_130","Unidentified sp8 M_PL_101","Xylocopa caffra"
"Syzygium wrightii",0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,52,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Gastonia crassa",0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medusagyne oppositifolia",0,0,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysobalanus icaco",0,0,295,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diospyros seychellarum",0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochna kirkii",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"Premna serratifolia",0,0,11,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,1,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraserianthes falcataria",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deckenia nobilis",0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,16,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphorbia pyrifolia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nepenthes pervillei",0,0,19,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,9,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Timonius sechellensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
